Episode 100/10000, Average Reward: -13.77
Episode 200/10000, Average Reward: -3.28
Episode 300/10000, Average Reward: 0.75
Episode 400/10000, Average Reward: 0.33
Episode 500/10000, Average Reward: -0.28
Episode 600/10000, Average Reward: -1.20
Episode 700/10000, Average Reward: 0.80
Episode 800/10000, Average Reward: 0.10
Episode 900/10000, Average Reward: -0.10
Episode 1000/10000, Average Reward: 0.51
Episode 1100/10000, Average Reward: 0.96
Episode 1200/10000, Average Reward: 0.08
Episode 1300/10000, Average Reward: 0.80
Episode 1400/10000, Average Reward: 0.49
Episode 1500/10000, Average Reward: -0.08
Episode 1600/10000, Average Reward: 0.63
Episode 1700/10000, Average Reward: 1.00
Episode 1800/10000, Average Reward: 0.80
Episode 1900/10000, Average Reward: 0.57
Episode 2000/10000, Average Reward: -0.95
Episode 2100/10000, Average Reward: 0.85
Episode 2200/10000, Average Reward: 0.89
Episode 2300/10000, Average Reward: 1.12
Episode 2400/10000, Average Reward: 0.23
Episode 2500/10000, Average Reward: 0.91
Episode 2600/10000, Average Reward: -0.36
Episode 2700/10000, Average Reward: -0.78
Episode 2800/10000, Average Reward: 0.72
Episode 2900/10000, Average Reward: 0.17
Episode 3000/10000, Average Reward: 1.45
Episode 3100/10000, Average Reward: 0.32
Episode 3200/10000, Average Reward: 0.63
Episode 3300/10000, Average Reward: 0.67
Episode 3400/10000, Average Reward: 0.83
Episode 3500/10000, Average Reward: 0.49
Episode 3600/10000, Average Reward: 0.58
Episode 3700/10000, Average Reward: 0.01
Episode 3800/10000, Average Reward: 1.12
Episode 3900/10000, Average Reward: 0.57
Episode 4000/10000, Average Reward: 1.07
Episode 4100/10000, Average Reward: 0.59
Episode 4200/10000, Average Reward: 0.33
Episode 4300/10000, Average Reward: 0.01
Episode 4400/10000, Average Reward: -0.11
Episode 4500/10000, Average Reward: 0.55
Episode 4600/10000, Average Reward: 1.08
Episode 4700/10000, Average Reward: 0.22
Episode 4800/10000, Average Reward: -0.09
Episode 4900/10000, Average Reward: 0.76
Episode 5000/10000, Average Reward: 0.92
Episode 5100/10000, Average Reward: 0.67
Episode 5200/10000, Average Reward: 0.96
Episode 5300/10000, Average Reward: 0.32
Episode 5400/10000, Average Reward: 0.53
Episode 5500/10000, Average Reward: 0.32
Episode 5600/10000, Average Reward: 0.65
Episode 5700/10000, Average Reward: 0.05
Episode 5800/10000, Average Reward: 0.00
Episode 5900/10000, Average Reward: 0.59
Episode 6000/10000, Average Reward: 0.76
Episode 6100/10000, Average Reward: -0.54
Episode 6200/10000, Average Reward: 0.95
Episode 6300/10000, Average Reward: 0.80
Episode 6400/10000, Average Reward: 0.59
Episode 6500/10000, Average Reward: 0.23
Episode 6600/10000, Average Reward: 0.99
Episode 6700/10000, Average Reward: 0.87
Episode 6800/10000, Average Reward: 0.15
Episode 6900/10000, Average Reward: 0.45
Episode 7000/10000, Average Reward: 0.41
Episode 7100/10000, Average Reward: 0.75
Episode 7200/10000, Average Reward: 1.03
Episode 7300/10000, Average Reward: -0.84
Episode 7400/10000, Average Reward: 0.72
Episode 7500/10000, Average Reward: 0.43
Episode 7600/10000, Average Reward: 0.42
Episode 7700/10000, Average Reward: 0.84
Episode 7800/10000, Average Reward: 0.96
Episode 7900/10000, Average Reward: 1.01
Episode 8000/10000, Average Reward: 1.42
Episode 8100/10000, Average Reward: 0.56
Episode 8200/10000, Average Reward: 0.88
Episode 8300/10000, Average Reward: 0.41
Episode 8400/10000, Average Reward: 0.51
Episode 8500/10000, Average Reward: 1.06
Episode 8600/10000, Average Reward: 0.15
Episode 8700/10000, Average Reward: 0.53
Episode 8800/10000, Average Reward: 0.84
Episode 8900/10000, Average Reward: 0.89
Episode 9000/10000, Average Reward: 0.92
Episode 9100/10000, Average Reward: 0.41
Episode 9200/10000, Average Reward: 0.54
Episode 9300/10000, Average Reward: 0.97
Episode 9400/10000, Average Reward: 0.55
Episode 9500/10000, Average Reward: 0.55
Episode 9600/10000, Average Reward: 0.51
Episode 9700/10000, Average Reward: 0.97
Episode 9800/10000, Average Reward: 0.78
Episode 9900/10000, Average Reward: 0.82
Episode 10000/10000, Average Reward: -0.62
