Episode 100/100000, Average Reward: -12.76
Episode 200/100000, Average Reward: 0.18
Episode 300/100000, Average Reward: 2.78
Episode 400/100000, Average Reward: 3.48
Episode 500/100000, Average Reward: 3.75
Episode 600/100000, Average Reward: 3.85
Episode 700/100000, Average Reward: 3.80
Episode 800/100000, Average Reward: 4.12
Episode 900/100000, Average Reward: 3.64
Episode 1000/100000, Average Reward: 2.98
Episode 1100/100000, Average Reward: 3.37
Episode 1200/100000, Average Reward: 3.26
Episode 1300/100000, Average Reward: 2.31
Episode 1400/100000, Average Reward: 3.41
Episode 1500/100000, Average Reward: 2.59
Episode 1600/100000, Average Reward: 3.72
Episode 1700/100000, Average Reward: 3.30
Episode 1800/100000, Average Reward: 2.79
Episode 1900/100000, Average Reward: 3.01
Episode 2000/100000, Average Reward: 3.13
Episode 2100/100000, Average Reward: 2.97
Episode 2200/100000, Average Reward: 3.43
Episode 2300/100000, Average Reward: 2.34
Episode 2400/100000, Average Reward: 2.77
Episode 2500/100000, Average Reward: 3.48
Episode 2600/100000, Average Reward: 3.22
Episode 2700/100000, Average Reward: 3.43
Episode 2800/100000, Average Reward: 3.21
Episode 2900/100000, Average Reward: 3.35
Episode 3000/100000, Average Reward: 3.40
Episode 3100/100000, Average Reward: 3.52
Episode 3200/100000, Average Reward: 3.83
Episode 3300/100000, Average Reward: 2.18
Episode 3400/100000, Average Reward: 2.50
Episode 3500/100000, Average Reward: 2.80
Episode 3600/100000, Average Reward: 4.00
Episode 3700/100000, Average Reward: 3.58
Episode 3800/100000, Average Reward: 3.07
Episode 3900/100000, Average Reward: 3.20
Episode 4000/100000, Average Reward: 2.66
Episode 4100/100000, Average Reward: 3.85
Episode 4200/100000, Average Reward: 3.71
Episode 4300/100000, Average Reward: 3.98
Episode 4400/100000, Average Reward: 2.99
Episode 4500/100000, Average Reward: 2.55
Episode 4600/100000, Average Reward: 3.44
Episode 4700/100000, Average Reward: 3.42
Episode 4800/100000, Average Reward: 3.17
Episode 4900/100000, Average Reward: 2.09
Episode 5000/100000, Average Reward: 3.88
Episode 5100/100000, Average Reward: 2.84
Episode 5200/100000, Average Reward: 3.52
Episode 5300/100000, Average Reward: 2.51
Episode 5400/100000, Average Reward: 3.10
Episode 5500/100000, Average Reward: 3.33
Episode 5600/100000, Average Reward: 3.42
Episode 5700/100000, Average Reward: 2.79
Episode 5800/100000, Average Reward: 3.48
Episode 5900/100000, Average Reward: 3.30
Episode 6000/100000, Average Reward: 3.81
Episode 6100/100000, Average Reward: 3.48
Episode 6200/100000, Average Reward: 3.22
Episode 6300/100000, Average Reward: 2.64
Episode 6400/100000, Average Reward: 2.56
Episode 6500/100000, Average Reward: 3.70
Episode 6600/100000, Average Reward: 3.70
Episode 6700/100000, Average Reward: 3.07
Episode 6800/100000, Average Reward: 2.88
Episode 6900/100000, Average Reward: 3.38
Episode 7000/100000, Average Reward: 3.93
Episode 7100/100000, Average Reward: 2.99
Episode 7200/100000, Average Reward: 3.16
Episode 7300/100000, Average Reward: 3.42
Episode 7400/100000, Average Reward: 3.61
Episode 7500/100000, Average Reward: 3.48
Episode 7600/100000, Average Reward: 3.08
Episode 7700/100000, Average Reward: 3.24
Episode 7800/100000, Average Reward: 3.49
Episode 7900/100000, Average Reward: 3.73
Episode 8000/100000, Average Reward: 3.01
Episode 8100/100000, Average Reward: 2.47
Episode 8200/100000, Average Reward: 1.79
Episode 8300/100000, Average Reward: 3.02
Episode 8400/100000, Average Reward: 3.79
Episode 8500/100000, Average Reward: 3.70
Episode 8600/100000, Average Reward: 2.44
Episode 8700/100000, Average Reward: 3.52
Episode 8800/100000, Average Reward: 2.86
Episode 8900/100000, Average Reward: 3.38
Episode 9000/100000, Average Reward: 2.86
Episode 9100/100000, Average Reward: 2.89
Episode 9200/100000, Average Reward: 3.42
Episode 9300/100000, Average Reward: 2.88
Episode 9400/100000, Average Reward: 2.16
Episode 9500/100000, Average Reward: 3.08
Episode 9600/100000, Average Reward: 1.67
Episode 9700/100000, Average Reward: 3.03
Episode 9800/100000, Average Reward: 3.00
Episode 9900/100000, Average Reward: 3.27
Episode 10000/100000, Average Reward: 3.56
Episode 10100/100000, Average Reward: 3.70
Episode 10200/100000, Average Reward: 2.67
Episode 10300/100000, Average Reward: 3.72
Episode 10400/100000, Average Reward: 3.01
Episode 10500/100000, Average Reward: 2.99
Episode 10600/100000, Average Reward: 3.27
Episode 10700/100000, Average Reward: 3.32
Episode 10800/100000, Average Reward: 3.43
Episode 10900/100000, Average Reward: 3.12
Episode 11000/100000, Average Reward: 2.75
Episode 11100/100000, Average Reward: 3.52
Episode 11200/100000, Average Reward: 3.03
Episode 11300/100000, Average Reward: 3.83
Episode 11400/100000, Average Reward: 2.90
Episode 11500/100000, Average Reward: 2.91
Episode 11600/100000, Average Reward: 3.23
Episode 11700/100000, Average Reward: 2.92
Episode 11800/100000, Average Reward: 3.17
Episode 11900/100000, Average Reward: 0.92
Episode 12000/100000, Average Reward: 3.37
Episode 12100/100000, Average Reward: 3.30
Episode 12200/100000, Average Reward: 2.31
Episode 12300/100000, Average Reward: 2.76
Episode 12400/100000, Average Reward: 3.25
Episode 12500/100000, Average Reward: 3.28
Episode 12600/100000, Average Reward: 3.41
Episode 12700/100000, Average Reward: 2.77
Episode 12800/100000, Average Reward: 3.16
Episode 12900/100000, Average Reward: 3.55
Episode 13000/100000, Average Reward: 3.20
Episode 13100/100000, Average Reward: 1.87
Episode 13200/100000, Average Reward: 2.30
Episode 13300/100000, Average Reward: 3.00
Episode 13400/100000, Average Reward: 3.34
Episode 13500/100000, Average Reward: 3.44
Episode 13600/100000, Average Reward: 3.25
Episode 13700/100000, Average Reward: 2.43
Episode 13800/100000, Average Reward: 3.74
Episode 13900/100000, Average Reward: 3.18
Episode 14000/100000, Average Reward: 2.66
Episode 14100/100000, Average Reward: 2.98
Episode 14200/100000, Average Reward: 3.45
Episode 14300/100000, Average Reward: 3.23
Episode 14400/100000, Average Reward: 2.13
Episode 14500/100000, Average Reward: 3.62
Episode 14600/100000, Average Reward: 2.53
Episode 14700/100000, Average Reward: 3.14
Episode 14800/100000, Average Reward: 3.11
Episode 14900/100000, Average Reward: 3.25
Episode 15000/100000, Average Reward: 3.55
Episode 15100/100000, Average Reward: 3.24
Episode 15200/100000, Average Reward: 3.65
Episode 15300/100000, Average Reward: 3.34
Episode 15400/100000, Average Reward: 3.20
Episode 15500/100000, Average Reward: 2.17
Episode 15600/100000, Average Reward: 3.19
Episode 15700/100000, Average Reward: 3.22
Episode 15800/100000, Average Reward: 3.36
Episode 15900/100000, Average Reward: 3.05
Episode 16000/100000, Average Reward: 3.40
Episode 16100/100000, Average Reward: 3.25
Episode 16200/100000, Average Reward: 3.48
Episode 16300/100000, Average Reward: 2.93
Episode 16400/100000, Average Reward: 3.26
Episode 16500/100000, Average Reward: 2.79
Episode 16600/100000, Average Reward: 3.61
Episode 16700/100000, Average Reward: 3.66
Episode 16800/100000, Average Reward: 1.60
Episode 16900/100000, Average Reward: 3.27
Episode 17000/100000, Average Reward: 2.37
Episode 17100/100000, Average Reward: 3.61
Episode 17200/100000, Average Reward: 3.22
Episode 17300/100000, Average Reward: 2.78
Episode 17400/100000, Average Reward: 2.71
Episode 17500/100000, Average Reward: 3.84
Episode 17600/100000, Average Reward: 3.39
Episode 17700/100000, Average Reward: 3.29
Episode 17800/100000, Average Reward: 3.82
Episode 17900/100000, Average Reward: 3.07
Episode 18000/100000, Average Reward: 3.71
Episode 18100/100000, Average Reward: 3.49
Episode 18200/100000, Average Reward: 2.39
Episode 18300/100000, Average Reward: 3.75
Episode 18400/100000, Average Reward: 2.54
Episode 18500/100000, Average Reward: 2.47
Episode 18600/100000, Average Reward: 3.75
Episode 18700/100000, Average Reward: 3.90
Episode 18800/100000, Average Reward: 3.47
Episode 18900/100000, Average Reward: 3.29
Episode 19000/100000, Average Reward: 3.48
Episode 19100/100000, Average Reward: 2.76
Episode 19200/100000, Average Reward: 3.19
Episode 19300/100000, Average Reward: 3.00
Episode 19400/100000, Average Reward: 2.75
Episode 19500/100000, Average Reward: 2.90
Episode 19600/100000, Average Reward: 3.24
Episode 19700/100000, Average Reward: 2.98
Episode 19800/100000, Average Reward: 3.04
Episode 19900/100000, Average Reward: 3.58
Episode 20000/100000, Average Reward: 3.50
Episode 20100/100000, Average Reward: 2.05
Episode 20200/100000, Average Reward: 3.33
Episode 20300/100000, Average Reward: 3.39
Episode 20400/100000, Average Reward: 3.02
Episode 20500/100000, Average Reward: 2.67
Episode 20600/100000, Average Reward: 3.02
Episode 20700/100000, Average Reward: 2.95
Episode 20800/100000, Average Reward: 3.02
Episode 20900/100000, Average Reward: 3.33
Episode 21000/100000, Average Reward: 1.95
Episode 21100/100000, Average Reward: 2.81
Episode 21200/100000, Average Reward: 1.72
Episode 21300/100000, Average Reward: 3.32
Episode 21400/100000, Average Reward: 3.15
Episode 21500/100000, Average Reward: 3.03
Episode 21600/100000, Average Reward: 2.86
Episode 21700/100000, Average Reward: 3.75
Episode 21800/100000, Average Reward: 3.77
Episode 21900/100000, Average Reward: 3.28
Episode 22000/100000, Average Reward: 3.21
Episode 22100/100000, Average Reward: 3.38
Episode 22200/100000, Average Reward: 3.15
Episode 22300/100000, Average Reward: 2.20
Episode 22400/100000, Average Reward: 3.70
Episode 22500/100000, Average Reward: 3.07
Episode 22600/100000, Average Reward: 2.79
Episode 22700/100000, Average Reward: 2.84
Episode 22800/100000, Average Reward: 2.48
Episode 22900/100000, Average Reward: 2.72
Episode 23000/100000, Average Reward: 3.51
Episode 23100/100000, Average Reward: 3.53
Episode 23200/100000, Average Reward: 2.50
Episode 23300/100000, Average Reward: 3.60
Episode 23400/100000, Average Reward: 3.58
Episode 23500/100000, Average Reward: 3.29
Episode 23600/100000, Average Reward: 3.71
Episode 23700/100000, Average Reward: 3.46
Episode 23800/100000, Average Reward: 2.74
Episode 23900/100000, Average Reward: 2.57
Episode 24000/100000, Average Reward: 2.71
Episode 24100/100000, Average Reward: 2.84
Episode 24200/100000, Average Reward: 3.70
Episode 24300/100000, Average Reward: 2.94
Episode 24400/100000, Average Reward: 2.42
