Episode 100/100000, Average Reward: -19.13
Episode 200/100000, Average Reward: -1.34
Episode 300/100000, Average Reward: -2.88
Episode 400/100000, Average Reward: -3.13
Episode 500/100000, Average Reward: -1.14
Episode 600/100000, Average Reward: -1.03
Episode 700/100000, Average Reward: 0.33
Episode 800/100000, Average Reward: 1.38
Episode 900/100000, Average Reward: 0.17
Episode 1000/100000, Average Reward: -0.56
Episode 1100/100000, Average Reward: 1.47
Episode 1200/100000, Average Reward: 0.96
Episode 1300/100000, Average Reward: 1.03
Episode 1400/100000, Average Reward: 0.44
Episode 1500/100000, Average Reward: -1.96
Episode 1600/100000, Average Reward: 1.24
Episode 1700/100000, Average Reward: 0.66
Episode 1800/100000, Average Reward: 0.68
Episode 1900/100000, Average Reward: 1.04
Episode 2000/100000, Average Reward: 0.67
Episode 2100/100000, Average Reward: 0.75
Episode 2200/100000, Average Reward: 0.34
Episode 2300/100000, Average Reward: 1.40
Episode 2400/100000, Average Reward: 0.81
Episode 2500/100000, Average Reward: 0.00
Episode 2600/100000, Average Reward: 0.47
Episode 2700/100000, Average Reward: 1.01
Episode 2800/100000, Average Reward: 1.00
Episode 2900/100000, Average Reward: 0.04
Episode 3000/100000, Average Reward: 0.70
Episode 3100/100000, Average Reward: 1.09
Episode 3200/100000, Average Reward: 1.23
Episode 3300/100000, Average Reward: 1.19
Episode 3400/100000, Average Reward: 1.40
Episode 3500/100000, Average Reward: 0.82
Episode 3600/100000, Average Reward: 0.85
Episode 3700/100000, Average Reward: 1.16
Episode 3800/100000, Average Reward: 1.38
Episode 3900/100000, Average Reward: 1.08
Episode 4000/100000, Average Reward: 1.13
Episode 4100/100000, Average Reward: 1.00
Episode 4200/100000, Average Reward: 0.53
Episode 4300/100000, Average Reward: -0.87
Episode 4400/100000, Average Reward: 1.00
Episode 4500/100000, Average Reward: 0.98
Episode 4600/100000, Average Reward: 0.71
Episode 4700/100000, Average Reward: 1.04
Episode 4800/100000, Average Reward: 1.22
Episode 4900/100000, Average Reward: -0.02
Episode 5000/100000, Average Reward: 0.62
Episode 5100/100000, Average Reward: 1.30
Episode 5200/100000, Average Reward: 0.83
Episode 5300/100000, Average Reward: 1.04
Episode 5400/100000, Average Reward: 1.01
Episode 5500/100000, Average Reward: 0.68
Episode 5600/100000, Average Reward: 1.33
Episode 5700/100000, Average Reward: 0.88
Episode 5800/100000, Average Reward: 1.01
Episode 5900/100000, Average Reward: 1.08
Episode 6000/100000, Average Reward: 1.37
Episode 6100/100000, Average Reward: 0.97
Episode 6200/100000, Average Reward: 1.30
Episode 6300/100000, Average Reward: 1.09
Episode 6400/100000, Average Reward: 1.10
Episode 6500/100000, Average Reward: 1.05
Episode 6600/100000, Average Reward: 1.11
Episode 6700/100000, Average Reward: 1.44
Episode 6800/100000, Average Reward: 1.36
Episode 6900/100000, Average Reward: 0.94
Episode 7000/100000, Average Reward: 1.51
Episode 7100/100000, Average Reward: 1.17
Episode 7200/100000, Average Reward: 0.86
Episode 7300/100000, Average Reward: 0.85
Episode 7400/100000, Average Reward: 1.14
Episode 7500/100000, Average Reward: -0.80
Episode 7600/100000, Average Reward: 0.10
Episode 7700/100000, Average Reward: -0.48
Episode 7800/100000, Average Reward: 1.38
Episode 7900/100000, Average Reward: 0.80
Episode 8000/100000, Average Reward: 0.91
Episode 8100/100000, Average Reward: 1.17
Episode 8200/100000, Average Reward: 0.87
Episode 8300/100000, Average Reward: 1.15
Episode 8400/100000, Average Reward: 1.04
Episode 8500/100000, Average Reward: 1.13
Episode 8600/100000, Average Reward: 0.76
Episode 8700/100000, Average Reward: 0.77
Episode 8800/100000, Average Reward: 1.26
Episode 8900/100000, Average Reward: 1.27
